NHSE_REGION_CODE,ONS_REGION_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALE,MALE_0-4,MALE_5-9,MALE_10-14,MALE_15-19,MALE_20-24,MALE_25-29,MALE_30-34,MALE_35-39,MALE_40-44,MALE_45-49,MALE_50-54,MALE_55-59,MALE_60-64,MALE_65-69,MALE_70-74,MALE_75-79,MALE_80-84,MALE_85-89,MALE_90-94,MALE_95+,FEMALE_0-4,FEMALE_5-9,FEMALE_10-14,FEMALE_15-19,FEMALE_20-24,FEMALE_25-29,FEMALE_30-34,FEMALE_35-39,FEMALE_40-44,FEMALE_45-49,FEMALE_50-54,FEMALE_55-59,FEMALE_60-64,FEMALE_65-69,FEMALE_70-74,FEMALE_75-79,FEMALE_80-84,FEMALE_85-89,FEMALE_90-94,FEMALE_95+
Q70,E39000025,2870964,1421082,1449882,77171,82783,76609,81167,91035,90471,89740,89700,90398,101906,105223,94558,80185,81978,72028,48957,36000,21065,8221,1887,73533,78774,72549,77665,91684,91542,90104,87760,86985,99616,103123,92761,82126,87789,77095,56250,45419,32671,16553,5883
Q71,E39000018,9584267,4791149,4793118,312047,308023,265643,245945,290576,435768,490610,463454,390585,353411,318802,253905,189615,156151,117433,86112,62686,34643,12731,3009,297466,295846,255849,238985,341314,495065,494262,422484,339844,313450,292469,238108,189469,166550,134896,105450,81921,54407,26148,9135
Q72,E39000029,5779946,2889079,2890867,169080,179660,164264,168175,199775,204979,200045,189275,184379,209768,207779,184191,156908,154091,123520,86336,60503,32172,11618,2561,160969,171058,157161,164322,202994,201243,192230,176659,172132,200485,199493,179461,156164,158796,132748,100837,79878,51585,24465,8187
Q74,E39000027,3270812,1629887,1640925,87536,93962,87639,91798,109110,113256,107414,100352,98601,116243,122275,112991,98335,95941,75547,53514,37432,19735,6797,1409,82409,89471,83516,88571,108056,107034,102793,95864,94796,113756,120074,112375,98817,99463,80387,63372,49289,31719,14573,4590
Q75,E39000026,2597610,1290004,1307606,72516,76050,70501,71568,82280,88470,86365,81722,81754,95257,98917,89073,74777,72140,57108,41295,28772,15202,5154,1083,67911,72270,67577,70296,83920,87285,85305,78389,78437,92330,97183,87248,75055,75134,62304,49305,37917,24694,11373,3673
Q76,E39000032,3740815,1872076,1868739,104451,111236,102767,107372,123768,127832,123134,116408,118429,139879,139103,122378,105487,106179,89295,61092,41457,22245,7923,1641,99119,106484,97418,103007,121363,120775,117184,110550,112719,133861,135087,119478,105854,109176,95113,69798,53510,35503,17220,5520
Q77,E39000033,4490017,2259749,2230268,140085,148187,135919,134777,148130,163692,162896,156202,151158,164585,156817,135960,113722,107464,91311,65060,46175,26031,9359,2219,132861,140342,129334,128854,150796,159403,157230,144299,135298,151689,148108,128641,112332,111556,97814,75091,60001,40570,19389,6660
Q78,E39000030,4857540,2424500,2433040,147812,158355,143758,141647,147767,158474,164541,168640,165878,180172,178847,154306,129042,124136,102014,69206,49678,27630,10315,2282,140909,150679,137276,133824,146516,161822,167764,164647,158782,173311,171603,149189,127913,129502,108570,78783,62236,42233,20432,7049
Q79,E39000031,4503610,2235724,2267886,127492,135870,125093,126520,135172,147323,145948,145624,144975,161178,161891,142852,122600,128842,110378,74961,54166,30947,11414,2478,121311,128747,118388,119849,134726,147513,145402,141629,141084,158022,158640,140520,127740,135705,118195,84979,67278,46914,23251,7993
Q80,E39000036,3333230,1637835,1695395,89476,95699,88376,94482,105675,103394,101314,98401,98304,113506,118803,107330,96339,102099,88078,59087,42042,24264,9002,2164,85158,90625,84406,91773,107212,106895,104055,99302,98426,114651,119977,109340,100175,106889,93283,66948,53225,37162,19170,6723
Q81,E39000035,4777574,2352040,2425534,134812,147282,136868,137457,136895,145355,145733,152449,156245,175347,178675,153632,129200,130307,111721,75934,55729,32782,12637,2980,127922,139345,130219,132547,141938,150519,150258,154597,156041,172539,173945,151363,132054,139583,122411,89207,72622,52048,26591,9785
Q82,E39000034,3819825,1889225,1930600,111316,121036,112354,113635,117674,119586,121921,126313,127951,140187,141920,123701,102323,97721,80367,56760,40817,23040,8649,1954,105366,115526,107154,110513,121211,125754,129202,128473,126613,138521,138395,119676,101666,101492,87406,64194,50510,35012,17834,6082
Q83,E39000037,3001350,1513101,1488249,96178,101111,90492,87131,99650,114350,116860,110075,103311,112001,107700,91001,74433,70933,55105,38648,25544,12997,4609,972,91911,96284,86071,83384,102545,115691,113256,101586,92598,101140,98967,85708,72051,71844,59925,45411,34081,22088,10276,3432
Q84,E39000038,1544039,772195,771844,44102,47241,44654,45563,49685,50719,49993,47714,48298,56881,57750,51090,43662,44070,36085,24882,17027,8948,3152,679,42258,45108,42064,43648,49859,50065,48990,45235,45713,54034,54705,49546,43486,44867,37736,28736,22043,14526,6992,2233
